id,en,pl,fr,ru,de,ita,es,fi,br
SYSTEM_NEW_GAME,Begin,Rozpocznij,Commencer,Начать игру,Neues Spiel,Inizia,Empezar,Aloita,Novo Jogo
SYSTEM_CONTINUE,Continue,Kontynuuj,Continuer,Продолжить,Fortsetzen,Continua,Continuar,Jatka,Continuar
SYSTEM_LOAD,Load,Wczytaj grę,Charger,Загрузить,Laden,Carica,Cargar,Lataa,Carregar
SYSTEM_SAVE,Save,Zapisz grę,Sauvegarder,Сохранить,Speichern,Salva,Guardar,Tallenna,Salvar
SYSTEM_OPTIONS,Options,Ustawienia,Options,Настройки,Optionen,Opzioni,Opciones,Asetukset,Opções
SYSTEM_EXTRAS,Extras,Dodatki,Extras,Дополнительно,Extras,Extra,Extras,Extrat,Extras
SYSTEM_CREDITS,Credits,Autorzy,Crédits,Авторы,Credits,Crediti,Créditos,Kiitokset,Créditos
SYSTEM_QUIT,Quit,Wyjdź,Quitter,Выйти,Beenden,Esci,Salir,Lopeta,Sair
SYSTEM_LOADING,Loading,Wczytywanie,Chargement,Загрузка,Ladevorgang,Caricamento,Cargando,Ladataan,Carregando
SYSTEM_YES,Yes,Tak,Oui,Да,Ja,Si,Si,Kyllä,Sim
SYSTEM_NO,No,Nie,Non,Нет,Nein,No,No,Ei,Não
SYSTEM_OKAY,Okay,OK,OK,Хорошо,Okay,Ok,Ok,Ok,Ok
SYSTEM_CANCEL,Cancel,Anuluj,Annuler,Отменить,Abbrechen,Annulla,Cancelar,Peruuta,Cancelar
SYSTEM_CONTINUE,Continue,Kontynuuj,Continuer,Продолжить,Fortsetzen,Continua,Continuar,Jatka,Continuar
SYSTEM_SKIP,Skip,Pomiń,Passer,Пропустить,Überspringen,Salta,Saltar,Ohita,Pular
SYSTEM_LOG,Log,Historia,Log,Журнал,Journal,Storico,Registro,Historia,Histórico
SYSTEM_AUTOREAD,Autoread,Automatyczne przewijanie,Lecture automatique,Автопрокрутка,Autolesen,Autolettura,Lectura automática,Automaattiluku,Auto-Leitura
SYSTEM_USE,Use,Użyj,Utiliser,Использовать,Benutzen,Usa,Usar,Käytä,Usar
SYSTEM_QUITMESSAGE,Are you sure you want to quit?,Czy na pewno chcesz zakończyć grę?,Es-tu sur de vouloir quitter?,что хотите выйти?,Bist du sicher dass du das Spiel Beenden willst?,Sei sicuro di voler uscire?,¿Está seguro que desea salir?,Haluatko lopettaa?,Tem certeza de que deseja sair?
